iso_year,iso_week,date,crop,mean_ndvi,q25_ndvi,q75_ndvi,n_pixels
2025,9,2025-02-24,corn,0.2356104999780655,0.21713823080062866,0.24716226756572723,60622798
2025,10,2025-03-03,corn,0.20591674745082855,0.19200003147125244,0.22730664908885956,60622798
2025,11,2025-03-10,corn,0.23622815310955048,0.21733558177947998,0.24800002574920654,60622798
2025,12,2025-03-17,corn,0.23792201280593872,0.2181767374277115,0.24911852180957794,60622798
2025,13,2025-03-24,corn,0.2492617666721344,0.2250295728445053,0.26158636808395386,60622798
2025,14,2025-03-31,corn,0.2622250020503998,0.22904576361179352,0.28041884303092957,60622798
2025,15,2025-04-07,corn,0.2776554226875305,0.23202888667583466,0.3006075918674469,60622798
2025,16,2025-04-14,corn,0.29238513112068176,0.24989929795265198,0.31597939133644104,60622798
2025,17,2025-04-21,corn,0.3334139883518219,0.2716805636882782,0.36981651186943054,60622798
2025,18,2025-04-28,corn,0.3256365656852722,0.2672267258167267,0.3623809516429901,60622798
2025,19,2025-05-05,corn,0.3896755278110504,0.31108370423316956,0.44342881441116333,60622798
2025,20,2025-05-12,corn,0.41672492027282715,0.32965922355651855,0.4785628318786621,60622798
2025,21,2025-05-19,corn,0.33842483162879944,0.2596699893474579,0.41392722725868225,60622798
2025,22,2025-05-26,corn,0.4541986882686615,0.3708302676677704,0.5159379243850708,60622798
2025,23,2025-06-02,corn,0.5115672945976257,0.4304925203323364,0.5761191248893738,60622798
2025,24,2025-06-09,corn,0.5991483330726624,0.5232753753662109,0.6720000505447388,60622798
2025,25,2025-06-16,corn,0.750412106513977,0.7039999961853027,0.8055349588394165,60622798
2025,26,2025-06-23,corn,0.7957700490951538,0.7650253176689148,0.8784968256950378,60622798
2025,27,2025-06-30,corn,0.8878908157348633,0.8703368306159973,0.9119999408721924,60622798
2025,28,2025-07-07,corn,0.9058434963226318,0.8917572498321533,0.9295370578765869,60622798
2025,29,2025-07-14,corn,0.8841084241867065,0.8663041591644287,0.9162757992744446,60622798
2025,30,2025-07-21,corn,0.9098717570304871,0.898949921131134,0.9272848963737488,60622798
2025,31,2025-07-28,corn,0.9284324645996094,0.9184974431991577,0.9428573846817017,60622798
2025,32,2025-08-04,corn,0.8573266863822937,0.8318110108375549,0.9138757586479187,60622798
2025,33,2025-08-11,corn,0.8941722512245178,0.8786640167236328,0.9148434400558472,60622798
2025,34,2025-08-18,corn,0.8888340592384338,0.8676422238349915,0.9151073694229126,60622798
2025,35,2025-08-25,corn,0.8567864298820496,0.8345696926116943,0.8883064985275269,60622798
2025,36,2025-09-01,corn,0.8118007779121399,0.7738027572631836,0.8626012206077576,60622798
2025,37,2025-09-08,corn,0.7268136739730835,0.6779881715774536,0.7874352931976318,60622798
2025,38,2025-09-15,corn,0.5559447407722473,0.475398451089859,0.6418229937553406,60622798
2025,39,2025-09-22,corn,0.5107144713401794,0.4304378926753998,0.5818275809288025,60622798
2025,40,2025-09-29,corn,0.4268828332424164,0.35631170868873596,0.4828745126724243,60622798
2025,9,2025-02-24,soybean,0.22940722107887268,0.2115110605955124,0.24000000953674316,42557170
2025,10,2025-03-03,soybean,0.19976699352264404,0.18566325306892395,0.21816571056842804,42557170
2025,11,2025-03-10,soybean,0.2299971580505371,0.2109503149986267,0.24068939685821533,42557170
2025,12,2025-03-17,soybean,0.2304709106683731,0.21004225313663483,0.2411026805639267,42557170
2025,13,2025-03-24,soybean,0.24387335777282715,0.21804332733154297,0.2560000419616699,42557170
2025,14,2025-03-31,soybean,0.2568744122982025,0.22110356390476227,0.2765737473964691,42557170
2025,15,2025-04-07,soybean,0.27274152636528015,0.22463949024677277,0.29636070132255554,42557170
2025,16,2025-04-14,soybean,0.28696396946907043,0.24061338603496552,0.312000036239624,42557170
2025,17,2025-04-21,soybean,0.3203349709510803,0.2568392753601074,0.3573382794857025,42557170
2025,18,2025-04-28,soybean,0.31592273712158203,0.2560000419616699,0.35198310017585754,42557170
2025,19,2025-05-05,soybean,0.38452401757240295,0.30400002002716064,0.43922853469848633,42557170
2025,20,2025-05-12,soybean,0.40510550141334534,0.3187047243118286,0.46521610021591187,42557170
2025,21,2025-05-19,soybean,0.3278167247772217,0.2509289085865021,0.3991062343120575,42557170
2025,22,2025-05-26,soybean,0.440907746553421,0.35908541083335876,0.5000742077827454,42557170
2025,23,2025-06-02,soybean,0.4839631915092468,0.40400221943855286,0.5452913641929626,42557170
2025,24,2025-06-09,soybean,0.548513650894165,0.4715176522731781,0.6183245182037354,42557170
2025,25,2025-06-16,soybean,0.6796229481697083,0.6207808256149292,0.7439999580383301,42557170
2025,26,2025-06-23,soybean,0.7372646331787109,0.6782839298248291,0.8329487442970276,42557170
2025,27,2025-06-30,soybean,0.8533702492713928,0.8266578316688538,0.8894491791725159,42557170
2025,28,2025-07-07,soybean,0.8887696266174316,0.8708875775337219,0.9176390767097473,42557170
2025,29,2025-07-14,soybean,0.8757834434509277,0.8553533554077148,0.9107451438903809,42557170
2025,30,2025-07-21,soybean,0.9101063013076782,0.8991795182228088,0.9267141222953796,42557170
2025,31,2025-07-28,soybean,0.9299270510673523,0.9199999570846558,0.9440000057220459,42557170
2025,32,2025-08-04,soybean,0.8635573983192444,0.8414115905761719,0.9182640910148621,42557170
2025,33,2025-08-11,soybean,0.9061912894248962,0.8940135836601257,0.9237919449806213,42557170
2025,34,2025-08-18,soybean,0.9075146913528442,0.8900511264801025,0.929419994354248,42557170
2025,35,2025-08-25,soybean,0.8817993998527527,0.8639999628067017,0.905929446220398,42557170
2025,36,2025-09-01,soybean,0.8427979350090027,0.8155231475830078,0.8770564198493958,42557170
2025,37,2025-09-08,soybean,0.7558797597885132,0.7196781039237976,0.8006274700164795,42557170
2025,38,2025-09-15,soybean,0.552300751209259,0.4890710413455963,0.6213329434394836,42557170
2025,39,2025-09-22,soybean,0.494966983795166,0.42916807532310486,0.5504580736160278,42557170
2025,40,2025-09-29,soybean,0.4046342372894287,0.34073230624198914,0.45389610528945923,42557170
