iso_year,iso_week,date,crop,mean_ndvi,q25_ndvi,q75_ndvi,n_pixels
2025,9,2025-02-24,corn,0.2636759877204895,0.23841972649097443,0.2752401828765869,4222088
2025,10,2025-03-03,corn,0.24976034462451935,0.22691653668880463,0.2644250690937042,4222088
2025,11,2025-03-10,corn,0.25634148716926575,0.234185591340065,0.2704418897628784,4222088
2025,12,2025-03-17,corn,0.2650803327560425,0.2408980280160904,0.2809353768825531,4222088
2025,13,2025-03-24,corn,0.2765323221683502,0.24800002574920654,0.29519304633140564,4222088
2025,14,2025-03-31,corn,0.25704479217529297,0.220530167222023,0.29656651616096497,4222088
2025,15,2025-04-07,corn,0.33104777336120605,0.27950164675712585,0.36633503437042236,4222088
2025,16,2025-04-14,corn,0.295413076877594,0.24990618228912354,0.3212958872318268,4222088
2025,17,2025-04-21,corn,0.3875196874141693,0.3046601414680481,0.45281028747558594,4222088
2025,18,2025-04-28,corn,0.3176862895488739,0.2602927088737488,0.3586677610874176,4222088
2025,19,2025-05-05,corn,0.4100785553455353,0.3221844434738159,0.47553014755249023,4222088
2025,20,2025-05-12,corn,0.4526577591896057,0.35758304595947266,0.5263785123825073,4222088
2025,21,2025-05-19,corn,0.24760571122169495,0.19121190905570984,0.28641393780708313,4222088
2025,22,2025-05-26,corn,0.5024222135543823,0.4342421889305115,0.5556133985519409,4222088
2025,23,2025-06-02,corn,0.6386826634407043,0.5606002807617188,0.7192007899284363,4222088
2025,24,2025-06-09,corn,0.6558375954627991,0.5981391072273254,0.7164774537086487,4222088
2025,25,2025-06-16,corn,0.8166864514350891,0.782162070274353,0.860950767993927,4222088
2025,26,2025-06-23,corn,0.8916107416152954,0.8713252544403076,0.9185594320297241,4222088
2025,27,2025-06-30,corn,0.9212549328804016,0.9081541299819946,0.9399932622909546,4222088
2025,28,2025-07-07,corn,0.9103747010231018,0.8958536982536316,0.9399372935295105,4222088
2025,29,2025-07-14,corn,0.8076638579368591,0.7449880242347717,0.9095784425735474,4222088
2025,30,2025-07-21,corn,0.9190231561660767,0.9119999408721924,0.9359999895095825,4222088
2025,31,2025-07-28,corn,0.93072509765625,0.9197563529014587,0.9449010491371155,4222088
2025,32,2025-08-04,corn,0.8478723168373108,0.8397096991539001,0.8880000114440918,4222088
2025,33,2025-08-11,corn,0.9125677347183228,0.8993986248970032,0.9300482273101807,4222088
2025,34,2025-08-18,corn,0.8894896507263184,0.8697367906570435,0.9119999408721924,4222088
2025,35,2025-08-25,corn,0.8673256039619446,0.8500608205795288,0.8946183323860168,4222088
2025,36,2025-09-01,corn,0.7820760011672974,0.7471817135810852,0.8254644870758057,4222088
2025,37,2025-09-08,corn,0.6976861953735352,0.6410647630691528,0.7600657939910889,4222088
2025,38,2025-09-15,corn,0.5302079319953918,0.45825719833374023,0.5908140540122986,4222088
2025,39,2025-09-22,corn,0.47477632761001587,0.38940370082855225,0.5473229885101318,4222088
2025,40,2025-09-29,corn,0.4152912497520447,0.3358883857727051,0.4785090684890747,4222088
2025,9,2025-02-24,soybean,0.2531222105026245,0.22735857963562012,0.2658241391181946,3229710
2025,10,2025-03-03,soybean,0.23974178731441498,0.21599996089935303,0.2560000419616699,3229710
2025,11,2025-03-10,soybean,0.2485891580581665,0.22563354671001434,0.2630532383918762,3229710
2025,12,2025-03-17,soybean,0.25324195623397827,0.22643648087978363,0.270461767911911,3229710
2025,13,2025-03-24,soybean,0.2688540816307068,0.24000000953674316,0.28758639097213745,3229710
2025,14,2025-03-31,soybean,0.2464565485715866,0.206032857298851,0.28516316413879395,3229710
2025,15,2025-04-07,soybean,0.3247930109500885,0.2711559534072876,0.36207133531570435,3229710
2025,16,2025-04-14,soybean,0.2898927330970764,0.24138519167900085,0.317938894033432,3229710
2025,17,2025-04-21,soybean,0.3736586272716522,0.2909078598022461,0.43829113245010376,3229710
2025,18,2025-04-28,soybean,0.3054616451263428,0.2506956458091736,0.34324923157691956,3229710
2025,19,2025-05-05,soybean,0.39734092354774475,0.3119994103908539,0.46029242873191833,3229710
2025,20,2025-05-12,soybean,0.44025489687919617,0.3476983904838562,0.5100266933441162,3229710
2025,21,2025-05-19,soybean,0.24207304418087006,0.18840457499027252,0.2777828574180603,3229710
2025,22,2025-05-26,soybean,0.48307132720947266,0.4185492992401123,0.527660608291626,3229710
2025,23,2025-06-02,soybean,0.5782358646392822,0.4971492886543274,0.6573527455329895,3229710
2025,24,2025-06-09,soybean,0.6062890291213989,0.54704749584198,0.6654021739959717,3229710
2025,25,2025-06-16,soybean,0.7487013339996338,0.702762246131897,0.8026018142700195,3229710
2025,26,2025-06-23,soybean,0.856319785118103,0.8256615400314331,0.8936303853988647,3229710
2025,27,2025-06-30,soybean,0.9035707712173462,0.885628342628479,0.928441047668457,3229710
2025,28,2025-07-07,soybean,0.8985319137573242,0.8811959028244019,0.9340081214904785,3229710
2025,29,2025-07-14,soybean,0.8093965649604797,0.7487068176269531,0.9093995094299316,3229710
2025,30,2025-07-21,soybean,0.9198022484779358,0.9122062921524048,0.9345269203186035,3229710
2025,31,2025-07-28,soybean,0.9338763952255249,0.9248976111412048,0.9460355639457703,3229710
2025,32,2025-08-04,soybean,0.855157732963562,0.8474529981613159,0.9002850651741028,3229710
2025,33,2025-08-11,soybean,0.9219138622283936,0.9119096398353577,0.9360934495925903,3229710
2025,34,2025-08-18,soybean,0.9074203372001648,0.8914486169815063,0.9262752532958984,3229710
2025,35,2025-08-25,soybean,0.8931258320808411,0.8799999952316284,0.9126501679420471,3229710
2025,36,2025-09-01,soybean,0.8368725180625916,0.8115140199661255,0.8701972365379333,3229710
2025,37,2025-09-08,soybean,0.7505209445953369,0.7093701362609863,0.7991575002670288,3229710
2025,38,2025-09-15,soybean,0.5545070767402649,0.49206608533859253,0.608964204788208,3229710
2025,39,2025-09-22,soybean,0.4860217273235321,0.41747766733169556,0.5434556007385254,3229710
2025,40,2025-09-29,soybean,0.41355159878730774,0.34546399116516113,0.4667116105556488,3229710
